subject_id,group_id,question_id,s1_value,s1_confidence,s3_value,s3_confidence,n_number_en_s1,n_fermi_whitelist,n_interventions,n_words
227,70,1,46.0,3.0,129.0,4.0,1.0,2.0,10.0,31.0
227,70,2,80.0,1.0,228.0,3.0,1.0,0.0,8.0,29.0
227,70,3,350000000.0,3.0,472000000.0,4.0,1.0,0.0,11.0,29.0
227,70,4,17000.0,2.0,32.0,3.0,,,,
227,70,5,49.0,4.0,54.0,4.0,,,,
227,70,6,2.0,1.0,2.0,1.0,,,,
227,70,7,280.0,2.0,280.0,3.0,,,,
227,70,8,17.0,1.0,67.0,3.0,0.0,1.0,8.0,27.0
238,70,1,32.0,2.0,160.0,4.0,0.0,3.0,9.0,37.0
238,70,2,200.0,3.0,220.0,5.0,3.0,1.0,18.0,75.0
238,70,3,150.0,4.0,480.0,5.0,0.0,2.0,17.0,52.0
238,70,4,8500.0,4.0,7500.0,4.0,,,,
238,70,5,20.0,3.0,30.0,2.0,,,,
238,70,6,13.0,4.0,13.0,2.0,,,,
238,70,7,200.0,2.0,200.0,1.0,,,,
238,70,8,52.0,3.0,50.0,5.0,0.0,4.0,13.0,70.0
240,70,1,70.0,1.0,160.0,3.0,0.0,4.0,16.0,60.0
240,70,2,40.0,1.0,220.0,3.0,0.0,2.0,11.0,43.0
240,70,3,650.0,3.0,530.0,3.0,0.0,7.0,16.0,73.0
240,70,4,20000.0,2.0,20000.0,2.0,,,,
240,70,5,30.0,1.0,40.0,2.0,,,,
240,70,6,3.0,3.0,2.0,3.0,,,,
240,70,7,120.0,1.0,120.0,1.0,,,,
240,70,8,10.0,4.0,70.0,4.0,0.0,2.0,12.0,47.0
216,73,1,10.0,2.0,,,1.0,2.0,11.0,46.0
216,73,2,60.0,1.0,,,,,,
216,73,3,46.0,1.0,,,,,,
216,73,4,1500.0,1.0,,,0.0,1.0,4.0,34.0
216,73,5,16.0,1.0,,,0.0,1.0,8.0,39.0
216,73,6,20.0,3.0,,,,,,
216,73,7,68.0,1.0,,,0.0,1.0,6.0,23.0
216,73,8,25.0,1.0,,,,,,
232,73,1,120.0,1.0,110.0,1.0,1.0,1.0,7.0,43.0
232,73,2,87.0,2.0,87.0,2.0,,,,
232,73,3,80.0,2.0,100.0,2.0,,,,
232,73,4,20000.0,2.0,10000.0,3.0,0.0,1.0,4.0,16.0
232,73,5,350.0,1.0,50.0,1.0,0.0,0.0,7.0,24.0
232,73,6,50.0,2.0,25.0,2.0,,,,
232,73,7,250.0,2.0,250.0,2.0,0.0,2.0,8.0,40.0
232,73,8,15.0,2.0,15.0,2.0,,,,
255,73,1,80.0,2.0,150.0,4.0,1.0,0.0,6.0,36.0
255,73,2,148.0,4.0,190.0,4.0,,,,
255,73,3,300.0,3.0,500.0,2.0,,,,
255,73,4,3000.0,2.0,10.0,4.0,0.0,1.0,5.0,32.0
255,73,5,4.0,1.0,20.0,4.0,1.0,3.0,7.0,49.0
255,73,6,20.0,2.0,20.0,3.0,,,,
255,73,7,160.0,4.0,225.0,4.0,0.0,2.0,6.0,31.0
255,73,8,100.0,3.0,100.0,3.0,,,,
256,73,1,137.0,1.0,137.0,3.0,1.0,1.0,5.0,35.0
256,73,2,268.0,1.0,268.0,1.0,,,,
256,73,3,360.0,2.0,360.0,2.0,,,,
256,73,4,8000.0,2.0,8000.0,3.0,1.0,2.0,3.0,26.0
256,73,5,5.0,2.0,20.0,2.0,1.0,0.0,5.0,43.0
256,73,6,8.0,1.0,8.0,1.0,,,,
256,73,7,221.0,2.0,220.0,3.0,1.0,1.0,6.0,43.0
256,73,8,23.0,1.0,23.0,1.0,,,,
223,74,1,30.0,3.0,145.0,4.0,1.0,1.0,5.0,30.0
223,74,2,20.0,3.0,300.0,3.0,1.0,0.0,8.0,29.0
223,74,3,400.0,3.0,400.0,5.0,1.0,0.0,7.0,19.0
223,74,4,30000.0,3.0,3000.0,3.0,0.0,0.0,5.0,30.0
223,74,5,5.0,3.0,7.0,2.0,,,,
223,74,6,25.0,5.0,30.0,4.0,,,,
223,74,7,300.0,5.0,300.0,4.0,,,,
223,74,8,7.0,3.0,7.0,4.0,,,,
235,74,1,148.0,4.0,155.0,4.0,2.0,9.0,25.0,131.0
235,74,2,43.0,1.0,300.0,4.0,2.0,2.0,7.0,45.0
235,74,3,760.0,4.0,400.0,4.0,1.0,6.0,9.0,41.0
235,74,4,12000.0,3.0,9000.0,5.0,1.0,6.0,8.0,66.0
235,74,5,35.0,4.0,37.0,3.0,,,,
235,74,6,6.0,4.0,6.0,3.0,,,,
235,74,7,200.0,2.0,200.0,3.0,,,,
235,74,8,27.0,3.0,26.0,3.0,,,,
242,74,1,60.0,2.0,150.0,3.0,1.0,5.0,11.0,68.0
242,74,2,100.0,1.0,300.0,4.0,2.0,1.0,12.0,58.0
242,74,3,300.0,4.0,400.0,4.0,3.0,1.0,11.0,50.0
242,74,4,50000.0,3.0,9000.0,4.0,1.0,2.0,8.0,50.0
242,74,5,20.0,2.0,20.0,2.0,,,,
242,74,6,7.0,2.0,7.0,2.0,,,,
242,74,7,190.0,3.0,190.0,3.0,,,,
242,74,8,100.0,3.0,100.0,3.0,,,,
250,74,1,120.0,3.0,150.0,4.0,0.0,5.0,14.0,81.0
250,74,2,890.0,2.0,400.0,4.0,2.0,2.0,13.0,55.0
250,74,3,570.0,4.0,420.0,4.0,2.0,4.0,15.0,44.0
250,74,4,6700.0,3.0,8500.0,4.0,0.0,1.0,14.0,67.0
250,74,5,35.0,2.0,40.0,2.0,,,,
250,74,6,25.0,3.0,10.0,4.0,,,,
250,74,7,300.0,4.0,230.0,4.0,,,,
250,74,8,60.0,4.0,50.0,4.0,,,,
259,75,1,2000.0,2.0,207.0,2.0,4.0,1.0,19.0,79.0
259,75,2,36.0,2.0,36.0,2.0,1.0,0.0,9.0,74.0
259,75,3,700.0,2.0,700.0,3.0,,,,
259,75,4,10000.0,3.0,10000.0,3.0,,,,
259,75,5,20.0,2.0,20.0,2.0,,,,
259,75,6,13.0,3.0,10.0,2.0,1.0,0.0,13.0,72.0
259,75,7,400.0,2.0,300.0,3.0,,,,
259,75,8,11.0,3.0,109.0,3.0,0.0,0.0,5.0,86.0
260,75,1,40.0,3.0,300.0,3.0,2.0,1.0,8.0,41.0
260,75,2,180.0,2.0,300.0,3.0,0.0,0.0,3.0,9.0
260,75,3,190.0,3.0,180.0,3.0,,,,
260,75,4,10000.0,3.0,10000.0,3.0,,,,
260,75,5,10.0,1.0,10.0,2.0,,,,
260,75,6,10.0,4.0,10.0,4.0,2.0,0.0,10.0,56.0
260,75,7,120.0,3.0,250.0,3.0,,,,
260,75,8,100.0,3.0,100.0,4.0,1.0,0.0,2.0,4.0
262,75,1,43.0,3.0,200.0,3.0,2.0,1.0,9.0,40.0
262,75,2,400.0,3.0,400.0,4.0,1.0,0.0,5.0,31.0
262,75,3,300.0,3.0,300.0,4.0,,,,
262,75,4,4600.0,3.0,4600.0,3.0,,,,
262,75,5,4.0,3.0,4.0,3.0,,,,
262,75,6,12.0,3.0,12.0,4.0,2.0,0.0,7.0,25.0
262,75,7,200.0,3.0,200.0,4.0,,,,
262,75,8,12.0,3.0,125.0,4.0,1.0,0.0,4.0,23.0
263,75,1,300.0,1.0,300.0,2.0,6.0,0.0,17.0,78.0
263,75,2,1000.0,1.0,409.0,3.0,1.0,0.0,12.0,36.0
263,75,3,600.0,2.0,600.0,2.0,,,,
263,75,4,12000.0,3.0,12000.0,3.0,,,,
263,75,5,15.0,1.0,15.0,1.0,,,,
263,75,6,5.0,3.0,10.0,3.0,3.0,2.0,18.0,62.0
263,75,7,20.0,3.0,20.0,2.0,,,,
263,75,8,100.0,3.0,100.0,4.0,2.0,2.0,8.0,46.0
264,80,1,300.0,3.0,300.0,4.0,,,,
264,80,2,200.0,1.0,200.0,4.0,1.0,1.0,5.0,24.0
264,80,3,300.0,4.0,450.0,5.0,0.0,3.0,11.0,42.0
264,80,4,6000.0,4.0,6000.0,4.0,,,,
264,80,5,4.0,4.0,4.0,4.0,,,,
264,80,6,6.0,3.0,6.0,4.0,1.0,4.0,10.0,48.0
264,80,7,210.0,4.0,210.0,4.0,,,,
264,80,8,11.0,4.0,70.0,4.0,0.0,6.0,6.0,32.0
265,80,1,25.0,1.0,25.0,1.0,,,,
265,80,2,80.0,1.0,300.0,1.0,2.0,3.0,17.0,98.0
265,80,3,100.0,2.0,450.0,3.0,1.0,3.0,19.0,87.0
265,80,4,10000.0,2.0,10000.0,1.0,,,,
265,80,5,35.0,1.0,35.0,1.0,,,,
265,80,6,80.0,1.0,15.0,2.0,3.0,6.0,17.0,86.0
265,80,7,150.0,1.0,125.0,1.0,,,,
265,80,8,60.0,2.0,70.0,2.0,1.0,3.0,18.0,70.0
266,80,1,80.0,3.0,80.0,3.0,,,,
266,80,2,50.0,1.0,250.0,3.0,5.0,3.0,15.0,87.0
266,80,3,500000000.0,3.0,450.0,4.0,1.0,1.0,13.0,67.0
266,80,4,12000.0,3.0,12000.0,3.0,,,,
266,80,5,35.0,2.0,35.0,2.0,,,,
266,80,6,30.0,2.0,12.0,4.0,0.0,5.0,12.0,72.0
266,80,7,75.0,2.0,75.0,2.0,,,,
266,80,8,110.0,2.0,70.0,4.0,1.0,3.0,11.0,78.0
267,80,1,150.0,1.0,150.0,1.0,,,,
267,80,2,125.0,1.0,150.0,1.0,1.0,4.0,15.0,98.0
267,80,3,1000000000.0,2.0,500000000.0,2.0,0.0,3.0,9.0,31.0
267,80,4,25000.0,1.0,20000.0,1.0,,,,
267,80,5,35.0,1.0,35.0,1.0,,,,
267,80,6,3.0,1.0,3.0,2.0,4.0,4.0,12.0,89.0
267,80,7,200.0,1.0,200.0,1.0,,,,
267,80,8,50.0,1.0,65.0,2.0,1.0,4.0,11.0,69.0
272,87,1,45.0,1.0,140.0,3.0,1.0,0.0,4.0,15.0
272,87,2,500.0,1.0,500.0,1.0,,,,
272,87,3,500.0,1.0,425.0,3.0,3.0,0.0,5.0,28.0
272,87,4,3000.0,1.0,9000.0,3.0,0.0,1.0,7.0,49.0
272,87,5,2.0,1.0,45.0,2.0,1.0,0.0,11.0,45.0
272,87,6,6.0,2.0,6.0,2.0,,,,
272,87,7,200.0,1.0,200.0,1.0,,,,
272,87,8,12.0,2.0,12.0,2.0,,,,
278,87,1,30.0,1.0,170.0,4.0,0.0,0.0,2.0,10.0
278,87,2,1000.0,3.0,1000.0,4.0,,,,
278,87,3,400.0,3.0,425.0,5.0,1.0,0.0,2.0,8.0
278,87,4,700.0,1.0,1300.0,4.0,0.0,0.0,3.0,21.0
278,87,5,3.0,1.0,30.0,3.0,0.0,0.0,3.0,10.0
278,87,6,5.0,3.0,5.0,2.0,,,,
278,87,7,300.0,2.0,300.0,2.0,,,,
278,87,8,30.0,3.0,30.0,3.0,,,,
281,87,1,64.0,1.0,140.0,3.0,1.0,2.0,3.0,28.0
281,87,2,4.0,1.0,4.0,3.0,,,,
281,87,3,300.0,3.0,425.0,4.0,2.0,0.0,5.0,20.0
281,87,4,15.0,1.0,13000.0,3.0,1.0,0.0,3.0,14.0
281,87,5,22.0,1.0,30.0,3.0,1.0,1.0,4.0,19.0
281,87,6,15.0,1.0,15.0,3.0,,,,
281,87,7,135.0,1.0,135.0,1.0,,,,
281,87,8,13.0,4.0,13.0,3.0,,,,
284,87,1,120.0,2.0,120.0,2.0,1.0,3.0,6.0,21.0
284,87,2,250.0,3.0,250.0,3.0,,,,
284,87,3,400.0,3.0,400.0,3.0,3.0,2.0,6.0,26.0
284,87,4,15000.0,2.0,15000.0,2.0,0.0,0.0,8.0,45.0
284,87,5,24.0,3.0,30.0,3.0,2.0,6.0,11.0,73.0
284,87,6,2.0,2.0,2.0,2.0,,,,
284,87,7,180.0,2.0,180.0,2.0,,,,
284,87,8,20.0,2.0,20.0,2.0,,,,
287,88,1,35.0,3.0,35.0,2.0,,,,
287,88,2,120.0,3.0,150.0,3.0,1.0,0.0,3.0,25.0
287,88,3,600.0,2.0,900.0,2.0,1.0,0.0,10.0,51.0
287,88,4,900.0,3.0,15000.0,4.0,1.0,1.0,7.0,38.0
287,88,5,50.0,1.0,50.0,1.0,,,,
287,88,6,5.0,3.0,5.0,3.0,,,,
287,88,7,146.0,4.0,210.0,3.0,2.0,1.0,5.0,40.0
287,88,8,80.0,2.0,80.0,2.0,,,,
293,88,1,27.0,1.0,27.0,1.0,,,,
293,88,2,350.0,2.0,120.0,4.0,1.0,0.0,5.0,28.0
293,88,3,500000.0,1.0,100000.0,3.0,0.0,2.0,9.0,53.0
293,88,4,10000.0,1.0,11000.0,3.0,3.0,1.0,6.0,42.0
293,88,5,3.0,1.0,3.0,1.0,,,,
293,88,6,20.0,2.0,20.0,2.0,,,,
293,88,7,7.0,3.0,220.0,3.0,2.0,0.0,5.0,23.0
293,88,8,50.0,1.0,55.0,2.0,,,,
296,88,1,30.0,1.0,30.0,1.0,,,,
296,88,2,500.0,1.0,500.0,3.0,1.0,0.0,5.0,25.0
296,88,3,485.0,1.0,5000.0,3.0,0.0,0.0,9.0,43.0
296,88,4,6000.0,1.0,15000.0,3.0,2.0,0.0,7.0,32.0
296,88,5,5.0,1.0,5.0,1.0,,,,
296,88,6,12.0,1.0,50.0,2.0,,,,
296,88,7,200.0,1.0,200.0,4.0,2.0,3.0,8.0,43.0
296,88,8,15.0,1.0,35.0,2.0,,,,
302,88,1,64.0,1.0,64.0,1.0,,,,
302,88,2,100.0,2.0,200.0,3.0,1.0,0.0,4.0,13.0
302,88,3,250.0,2.0,350.0,3.0,1.0,2.0,8.0,54.0
302,88,4,2000.0,2.0,15000.0,3.0,1.0,3.0,9.0,46.0
302,88,5,11.0,2.0,11.0,2.0,,,,
302,88,6,52.0,3.0,52.0,3.0,,,,
302,88,7,120.0,3.0,200.0,3.0,0.0,1.0,4.0,16.0
302,88,8,14.0,4.0,35.0,3.0,,,,
305,89,1,105.0,4.0,150.0,2.0,3.0,1.0,3.0,31.0
305,89,2,240.0,3.0,205.0,3.0,,,,
305,89,3,450.0,4.0,400.0,3.0,,,,
305,89,4,8000.0,3.0,8000.0,3.0,,,,
305,89,5,20.0,4.0,30.0,3.0,6.0,3.0,7.0,55.0
305,89,6,6.0,2.0,6.0,3.0,2.0,5.0,14.0,104.0
305,89,7,120.0,2.0,120.0,2.0,,,,
305,89,8,70.0,3.0,70.0,4.0,2.0,4.0,9.0,69.0
308,89,1,40.0,3.0,150.0,4.0,1.0,1.0,4.0,19.0
308,89,2,500.0,3.0,500.0,3.0,,,,
308,89,3,800.0,3.0,800.0,3.0,,,,
308,89,4,50.0,3.0,50.0,2.0,,,,
308,89,5,20.0,3.0,30.0,4.0,2.0,0.0,9.0,54.0
308,89,6,3.0,3.0,6.0,3.0,1.0,7.0,14.0,54.0
308,89,7,160.0,3.0,160.0,3.0,,,,
308,89,8,50.0,3.0,50.0,4.0,2.0,2.0,6.0,40.0
311,89,1,1.0,3.0,200.0,3.0,0.0,0.0,1.0,1.0
311,89,2,90.0,2.0,100.0,2.0,,,,
311,89,3,100.0,3.0,150.0,3.0,,,,
311,89,4,300.0,3.0,300.0,4.0,,,,
311,89,5,3.0,2.0,25.0,3.0,4.0,0.0,9.0,45.0
311,89,6,500.0,2.0,10.0,3.0,2.0,1.0,3.0,18.0
311,89,7,150.0,2.0,150.0,2.0,,,,
311,89,8,89.0,3.0,75.0,3.0,2.0,1.0,6.0,36.0
320,89,1,150.0,3.0,150.0,3.0,1.0,0.0,2.0,26.0
320,89,2,200.0,3.0,200.0,3.0,,,,
320,89,3,350.0,3.0,350.0,3.0,,,,
320,89,4,2000.0,3.0,2000.0,3.0,,,,
320,89,5,30.0,3.0,30.0,4.0,3.0,2.0,8.0,51.0
320,89,6,25.0,3.0,6.0,3.0,1.0,0.0,6.0,21.0
320,89,7,200.0,3.0,200.0,3.0,,,,
320,89,8,80.0,3.0,50.0,3.0,2.0,1.0,5.0,26.0
275,90,1,5.0,1.0,70.0,1.0,0.0,0.0,3.0,13.0
275,90,2,25.0,1.0,250.0,3.0,0.0,2.0,8.0,42.0
275,90,3,100000.0,1.0,10000.0,1.0,,,,
275,90,4,500.0,1.0,1000.0,1.0,,,,
275,90,5,1.0,1.0,70.0,2.0,,,,
275,90,6,5.0,2.0,12.0,3.0,1.0,0.0,4.0,13.0
275,90,7,72.0,1.0,250.0,1.0,0.0,2.0,10.0,37.0
275,90,8,1.0,1.0,1.0,1.0,,,,
314,90,1,55.0,2.0,100.0,2.0,1.0,1.0,5.0,42.0
314,90,2,150.0,2.0,200.0,2.0,1.0,1.0,6.0,26.0
314,90,3,100.0,2.0,100.0,2.0,,,,
314,90,4,100000.0,2.0,100000.0,2.0,,,,
314,90,5,20.0,2.0,20.0,2.0,,,,
314,90,6,20.0,2.0,10.0,2.0,1.0,1.0,5.0,36.0
314,90,7,110.0,2.0,200.0,2.0,0.0,0.0,5.0,20.0
314,90,8,40.0,2.0,40.0,2.0,,,,
317,90,1,,,,,1.0,0.0,6.0,30.0
317,90,2,4000.0,2.0,,,1.0,0.0,3.0,11.0
317,90,3,200.0,4.0,,,,,,
317,90,4,10000.0,3.0,,,,,,
317,90,5,5.0,2.0,,,,,,
317,90,6,10.0,3.0,,,1.0,1.0,4.0,15.0
317,90,7,,,,,0.0,0.0,7.0,23.0
317,90,8,397.0,2.0,,,,,,
324,90,1,70.0,1.0,,,1.0,0.0,2.0,11.0
324,90,2,20.0,2.0,,,0.0,0.0,3.0,9.0
324,90,3,400.0,2.0,,,,,,
324,90,4,950.0,3.0,,,,,,
324,90,5,4.0,1.0,,,,,,
324,90,6,100.0,2.0,,,1.0,1.0,4.0,17.0
324,90,7,578.0,2.0,,,0.0,0.0,8.0,20.0
324,90,8,12.0,2.0,,,,,,
333,97,1,150.0,2.0,150.0,3.0,1.0,1.0,7.0,26.0
333,97,2,88.0,1.0,230.0,1.0,,,,
333,97,3,500.0,3.0,500.0,3.0,,,,
333,97,4,,,12000.0,1.0,,,,
333,97,5,36.0,3.0,40.0,3.0,0.0,7.0,8.0,49.0
333,97,6,5.0,1.0,5.0,2.0,2.0,0.0,5.0,16.0
333,97,7,120.0,1.0,120.0,1.0,,,,
333,97,8,70.0,1.0,50.0,2.0,1.0,5.0,9.0,45.0
336,97,1,84.0,1.0,140.0,3.0,1.0,0.0,5.0,9.0
336,97,2,1000.0,1.0,250.0,3.0,,,,
336,97,3,450.0,1.0,450.0,4.0,,,,
336,97,4,15000.0,2.0,15000.0,3.0,,,,
336,97,5,13.0,1.0,30.0,3.0,0.0,0.0,4.0,10.0
336,97,6,60.0,2.0,10.0,4.0,2.0,0.0,5.0,11.0
336,97,7,562.0,1.0,560.0,1.0,,,,
336,97,8,23.0,1.0,45.0,3.0,0.0,2.0,6.0,51.0
339,97,1,35.0,2.0,150.0,3.0,0.0,0.0,8.0,27.0
339,97,2,70.0,3.0,80.0,2.0,,,,
339,97,3,200.0,2.0,200.0,2.0,,,,
339,97,4,170.0,1.0,80.0,2.0,,,,
339,97,5,28.0,2.0,35.0,3.0,0.0,0.0,6.0,19.0
339,97,6,3.0,3.0,25.0,3.0,2.0,0.0,12.0,44.0
339,97,7,13.0,2.0,13.0,3.0,,,,
339,97,8,42.0,3.0,120.0,2.0,0.0,1.0,10.0,31.0
348,97,1,150.0,1.0,150.0,2.0,2.0,2.0,7.0,35.0
348,97,2,250.0,3.0,250.0,3.0,,,,
348,97,3,100.0,1.0,100.0,2.0,,,,
348,97,4,8000.0,3.0,8000.0,3.0,,,,
348,97,5,20.0,1.0,40.0,3.0,1.0,0.0,8.0,33.0
348,97,6,30.0,1.0,30.0,3.0,3.0,2.0,11.0,69.0
348,97,7,500.0,2.0,500.0,2.0,,,,
348,97,8,160.0,2.0,150.0,2.0,2.0,1.0,9.0,60.0
354,99,1,56.0,2.0,200.0,3.0,1.0,4.0,10.0,42.0
354,99,2,150.0,2.0,160.0,2.0,,,,
354,99,3,500.0,2.0,500.0,3.0,1.0,0.0,3.0,11.0
354,99,4,100.0,1.0,100.0,1.0,,,,
354,99,5,5.0,1.0,10.0,2.0,,,,
354,99,6,6.0,3.0,7.0,4.0,2.0,6.0,9.0,48.0
354,99,7,260.0,3.0,240.0,3.0,,,,
354,99,8,15.0,3.0,47.0,3.0,1.0,3.0,14.0,83.0
369,99,1,171.0,4.0,256.0,4.0,0.0,0.0,4.0,12.0
369,99,2,206.0,4.0,206.0,4.0,,,,
369,99,3,425000000.0,4.0,450000000.0,4.0,0.0,0.0,2.0,10.0
369,99,4,20000.0,2.0,2000.0,2.0,,,,
369,99,5,10.0,2.0,10.0,2.0,,,,
369,99,6,300.0,3.0,12.0,3.0,1.0,2.0,8.0,34.0
369,99,7,200.0,3.0,236.0,4.0,,,,
369,99,8,45.0,3.0,47.0,4.0,0.0,1.0,6.0,26.0
372,99,1,98.0,1.0,256.0,2.0,0.0,1.0,4.0,16.0
372,99,2,3000.0,1.0,3000.0,1.0,,,,
372,99,3,500.0,2.0,450.0,2.0,1.0,0.0,4.0,25.0
372,99,4,4000.0,2.0,4000.0,2.0,,,,
372,99,5,23.0,1.0,23.0,1.0,,,,
372,99,6,10.0,2.0,7.0,3.0,1.0,1.0,6.0,25.0
372,99,7,103.0,1.0,103.0,1.0,,,,
372,99,8,85.0,2.0,47.0,2.0,1.0,3.0,12.0,62.0
378,99,1,146.0,2.0,,,1.0,6.0,12.0,61.0
378,99,2,134.0,2.0,,,,,,
378,99,3,457.0,2.0,,,0.0,0.0,4.0,12.0
378,99,4,4500.0,2.0,,,,,,
378,99,5,34.0,2.0,,,,,,
378,99,6,5.0,2.0,,,2.0,0.0,5.0,18.0
378,99,7,111.0,2.0,,,,,,
378,99,8,39.0,2.0,,,1.0,0.0,9.0,45.0
384,100,1,105.0,2.0,64.0,3.0,0.0,4.0,9.0,31.0
384,100,2,170.0,1.0,170.0,3.0,,,,
384,100,3,850.0,2.0,450.0,5.0,2.0,8.0,14.0,64.0
384,100,4,7000.0,3.0,7500.0,3.0,2.0,2.0,15.0,66.0
384,100,5,35.0,3.0,30.0,4.0,1.0,7.0,16.0,69.0
384,100,6,8.0,2.0,8.0,3.0,,,,
384,100,7,220.0,3.0,220.0,3.0,,,,
384,100,8,35.0,3.0,35.0,2.0,,,,
387,100,1,54.0,3.0,64.0,3.0,1.0,9.0,14.0,75.0
387,100,2,90.0,3.0,90.0,3.0,,,,
387,100,3,340.0,3.0,450.0,4.0,2.0,6.0,5.0,38.0
387,100,4,5000.0,4.0,7500.0,5.0,1.0,1.0,6.0,27.0
387,100,5,10.0,3.0,30.0,4.0,2.0,0.0,10.0,46.0
387,100,6,6.0,3.0,6.0,3.0,,,,
387,100,7,250.0,4.0,250.0,4.0,,,,
387,100,8,40.0,3.0,40.0,3.0,,,,
390,100,1,34.0,1.0,64.0,3.0,1.0,0.0,4.0,8.0
390,100,2,50.0,1.0,50.0,1.0,,,,
390,100,3,865.0,1.0,450.0,4.0,0.0,0.0,3.0,10.0
390,100,4,8900.0,1.0,7500.0,3.0,1.0,0.0,1.0,3.0
390,100,5,5.0,1.0,64.0,3.0,1.0,0.0,2.0,7.0
390,100,6,8.0,1.0,12.0,3.0,,,,
390,100,7,105.0,1.0,100.0,2.0,,,,
